video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FRWDlbDKmsc&pp=ygUMU3BhY2UgTmVlZGxl,/@TravelTouristVideos,TravelTouristVideos,"Space Needle Seattle Tour, Elevator Ride & Views from the Top (HD)",64K,6 years,We visited the Space Needle in Seattle after our Alaska cruise in June. The elevator rides were quick though the operator ...,2024-01-28 22:53:08.179398
/watch?v=3a8t-SRqTTI&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,New Year's at the Needle preparations continue,8.8K,4 weeks,New Year's at the Needle will be live on KING 5 beginning at approximately 11:30 p.m. Sunday.,2024-01-28 22:53:16.027189
/watch?v=gUP9u7BIu78&pp=ygUMU3BhY2UgTmVlZGxl,/@Locoroadie,Locoroadie,Seattle on a BUDGET?! These FREE Secrets Will Blow Your Mind!,No,3 hours,"From Pioneer Square's historic charm to the iconic Space Needle, join our journey through the Emerald City. Indulge in Pike Place ...",2024-01-28 22:53:16.030884
/shorts/50QBuMfDKaA,/@AVspacefact,AV Space Fact,What if a Needle Hit Earth at Light Speed? #space #solarsystem #earth,2.4K,11 hours,What if a Needle Hit Earth at Light Speed? Have you ever wondered what would happen if a needle were to collide with the Earth ...,2024-01-28 22:53:16.034199
/watch?v=SALpkwfB1cs&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,"The Space Needle: Remaking an Icon, Part 3 - The Grand Staircase",9.7K,5 years,"The new glass at the Space Needle may be getting all the glory, but another transformation is taking place at the center of it all.",2024-01-28 22:53:16.037191
/watch?v=i0ikSpw8T0E&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,WATCH: New Year's at the Needle fireworks show 2024,61K,3 weeks,The New Year's at the Needle firework show ringing in 2024.,2024-01-28 22:53:16.044526
/watch?v=7Ot2UIS_-hI&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,WATCH: New Year's Eve fireworks at Seattle's Space Needle,133K,5 years,The Space Needle celebrated its 25th annual fireworks show to ring in 2019. This year's show featured a brand new laser light ...,2024-01-28 22:53:16.047388
/watch?v=MJa1HM7fEQ4&pp=ygUMU3BhY2UgTmVlZGxl,/@Blippi,Blippi - Educational Videos for Kids,Blippi and Meekah Jump and Play in Seattle! Travel Videos for Kids,1M,10 months,"Join the two best friends as they explore a playground in Seattle, climb to the top of the Space Needle and MORE bff adventures!",2024-01-28 22:53:16.050743
/watch?v=HLegXStUfBo&pp=ygUMU3BhY2UgTmVlZGxl,/@CBSMornings,CBS Mornings,Seattle's Space Needle gets $100M+ makeover,410K,5 years,We got a close-up look at the biggest upgrade to Seattle's iconic Space Needle since it opened in 1962. The renovations started ...,2024-01-28 22:53:16.054525
/watch?v=NEP4aC5beKo&pp=ygUMU3BhY2UgTmVlZGxl,/@OneCouplesAdventure,One Couples Adventure,"Our 1st Time In Seattle - Visiting The Space Needle, Pike Place Market & The Original Starbucks",7K,6 months,"Hey All, So from flying to Vancouver, embarking a cruise to Alaska then ending up in Seattle it is now the last day of our trip. In the ...",2024-01-28 22:53:16.061334
